Insight,Date,Description,Segment,Source,Source link
For recurring data requests I want automated reports,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
The FM doesn't have to remember TÜV because in CH you get a reminder in the post,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
"I want to have the fine and damage process be automated End-to-end (including comms with garages, etc.)",2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
Handover should be digitized and automated for me,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want full control over the procurement & sale of cars because it has a direct impact on money,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
"I need to make sure that all documents are filed with the right instance, so there's a clear trace for cost centers",2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
"Because data entry and care is such a pain (mileage, costs, insurance) the report quality is insufficient",2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
We're changing our procurement because manual mileage updates are too cumbersome,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want benchmarks when it comes to total cost of ownership in order to make data driven decisions,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
"I want to always be able to revert things the AI does, because I don't trust the AI to make no mistakes",2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
"If every thing needs to be approved, it defies the point of automation",2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
The current dashboard is not really helpful. It's overwhelming and the data quality is bad,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I don't always have all information at hand to complete a vehicle adding process. I want to be able to save vehicles without ALL info.,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
Users want one comprehensive handover/return report generated from the vehicle check,2026-07-17,Fleet managers want a single complete handover/return protocol produced from the vehicle check.,Unknown,Planhat,
The handover/return protocol has workflow blockers in the vehicle-checklist flow,2025-12-09,Unresolved workflow blockers exist in the handover/return protocol within vehicle checklists.,Unknown,Planhat,
Fleet managers want a shared replacement-car pool available across all sub-organizations,2026-01-08,A fleet with sub-organizations wants a replacement-car pool usable across all of them.,Multi-entity,Planhat,
Fleet managers want the fine report linked to driver-license-check status,2026-01-08,They want regular links between the fine report and driver-license-check status to spot correlations.,Unknown,Planhat,
Fleet managers want fine scan date and location fields as columns in the fine overview,2026-01-08,"They want fine attributes (upload date, city, date forwarded, notification date, fine type) as overview columns for monthly reporting.",Enterprise,Planhat,
Fleet managers want the undivided annual fringe-benefit value and KM cost downloadable as report columns,2026-01-13,They want the yearly fringe-benefit value (not the /12 amount) and KM cost downloadable to run their own payroll calculations.,Enterprise,Planhat,
"Fleet managers want the UVV certificate to show the driver's specific subsidiary, not the main account name",2026-01-14,In multi-entity companies the UVV certificate should display the driver's assigned subsidiary for legally accurate records.,Multi-entity,Planhat,
Fleet managers want an audit log of driver-license-check rejections and reasons per driver,2026-01-14,They want a history of DLC rejections and reasons to address recurring issues and meet owner-liability compliance.,Large fleet,Planhat,
Fleet managers want to mark checklist items as non-critical so a negative answer skips the review queue,2026-01-14,They want to designate certain checklist items as non-blocking to avoid manually clearing routine negative responses.,Large fleet,Planhat,
Fleet managers want to configure which boolean answer triggers a checklist alert,2026-01-15,"They want to set which answer value triggers a warning, to avoid confusing double-negative questions and false alerts.",Unknown,Planhat,
Fleet managers want the first compliance-check reminder to fire immediately when a vehicle is added,2026-01-15,They want the initial recurring check to trigger at once on vehicle creation rather than after the first interval.,Unknown,Planhat,
"Fleet managers want to forward an entire procurement conversation thread, not just one message",2026-01-16,"They need to forward whole procurement conversations, e.g. to a leasing contact's stand-in or as evidence.",Unknown,Planhat,
Fleet managers want to record a purchase agreement with depreciation and a financing contract in parallel,2026-01-16,"The system blocks parallel purchase-with-depreciation and financing contracts, forcing external workarounds for credit-financed purchases.",Unknown,Planhat,
Fleet managers want a next-nearest-vehicle button when locating an available vehicle,2026-01-16,"Only the single nearest vehicle is shown; they want to step through 2nd, 3rd nearest to dispatch efficiently.",Unknown,Planhat,
Fleet managers want organization-level user rights so vehicles move between domains without support,2026-01-21,Moving vehicles between domains creates support load and data waste; they want org-level rights within one domain.,Multi-entity,Planhat,
Fleet managers want a 'Not Ordered' procurement status,2026-01-21,A 'Not Ordered' status would keep canceled or paused procurements traceable without title-field workarounds that break replacement links.,Unknown,Planhat,
Fleet managers want automated reminder emails redesigned so the company name is not cut off,2026-01-23,Cut-off company names make automated reminders look like spam and get ignored.,Unknown,Planhat,
Fleet managers want a monthly breakdown option in consumption-report exports,2026-01-23,Consumption exports give cumulative totals; they want month-by-month grouping to spot spikes without manual Excel work.,Unknown,Planhat,
Fleet managers want a dashboard showing the active fleet split by cost centre,2026-01-23,"They want a quick dashboard view of the fleet split by cost centre, as already exists by vehicle type.",Unknown,Planhat,
"Fleet managers want a custom, non-straight-line depreciation schedule",2026-01-23,The system only allows equal-installment depreciation; they want per-year custom percentages or amounts.,Unknown,Planhat,
Fleet managers want to reply or forward inbox messages without linking them to an order,2026-01-23,The procurement inbox is often used for non-procurement mail; they want to reply/forward without attaching to an order.,Unknown,Planhat,
Fleet managers want newly linked inbox messages to stay marked unread,2026-01-23,When a message is linked to an order it should remain an unread notification so it is easy to find among many open procurements.,Unknown,Planhat,
Fleet managers want to be notified when an email sent from a case bounces,2026-01-23,"Beyond the send history, they want a bounce-back notification.",Unknown,Planhat,
Fleet managers want a read-only fines role with task rights but no master-data access,2026-01-23,A role that views fines read-only and can modify tasks but cannot access master data.,Unknown,Planhat,
Fleet managers want to customise the sender address and content for mileage reminders,2026-01-23,Mileage reminders are ignored or flagged as spam due to a generic sender; customisable sender and content are wanted.,Unknown,Planhat,
Fleet managers want automated service tasks to include a country-specific instruction attachment,2026-01-23,Auto-generated service tasks should carry an attachment that differs by country policy.,Unknown,Planhat,
Fleet managers want more granular damage-case statuses,2026-01-26,"In damages they want to choose the case status (open, in progress, closed) with sub-states like awaiting-invoice or reported-to-leasing.",Unknown,Planhat,
"Fleet managers want task templates that can be due on a mileage interval, not only a date",2026-01-26,They want templates for mileage-interval tasks as well as date-interval ones.,Unknown,Planhat,
Fleet managers want real-time alerts and a delivery-status report when fine emails fail,2026-01-27,"They need instant bounce/SMTP-failure alerts plus a delivery-status report (recipient, timestamp, status, error, fine reference) for legal certainty.",Unknown,Planhat,
Fleet managers want an Amount placeholder added to fine templates,2026-01-27,They want the auto-populated Amount field available as a fine-template placeholder.,Unknown,Planhat,
"Fleet managers want user rights scoped by vehicle type, not only by organization",2026-01-28,"In large mixed fleets, users own specific vehicle types (vans, forklifts, cars); type-level rights would unblock large rollouts.",Enterprise,Planhat,
Bug: changing an overdue driver-license-check interval displays the interval as 0,2026-01-28,"Changing the DLC interval for an overdue driver shows 0 instead of resetting the overdue status, causing confusion.",Unknown,Planhat,
Fleet managers want a level-up navigation back to the vehicle task overview,2026-01-28,There is no direct navigation from a task back to the vehicle-specific task list; users rely on the browser back button.,Unknown,Planhat,
Fleet managers want a short grace period instead of an immediate deadline for initial licence setup,2026-01-28,The initial driver-licence setup deadline is immediate; a few days' processing window would help. Nice-to-have.,Unknown,Planhat,
Fleet managers want custom fields auto-filled based on the value of another custom field,2026-01-28,They want dependent custom fields populated automatically from a driving field's value.,Unknown,Planhat,
Fleet managers want to manage the driver-declaration-to-authorities document in the platform,2026-01-28,They want to handle the point-penalty driver-declaration document within the system.,Unknown,Planhat,
Fleet managers want templates for payment tasks within fines,2026-01-28,Option to create reusable templates for fine payment tasks.,Unknown,Planhat,
Fleet managers want fringe-benefit value pro-rated to the days a driver was assigned in a month,2026-01-29,"Mid-month assignment changes cannot be pro-rated, so some users compute fringe benefit offline.",Unknown,Planhat,
Fleet managers want an alert when a refuel quantity exceeds the tank capacity,2026-01-29,They want an email alert when an uploaded fuel transaction shows a refill larger than the tank capacity.,Unknown,Planhat,
Fleet managers want fines linked to and shown in the driver's master data,2026-01-30,Fines should appear as a tab or history in driver master data to avoid switching modules.,Unknown,Planhat,
Fleet managers want a user role limited to driver-vehicle assignments only,2026-02-02,Colleagues who only change driver-vehicle assignments should not get full data access.,Unknown,Planhat,
"Fleet managers want driver-behaviour reporting for idling, harsh braking and speeding",2026-02-02,A competitor offers driver-behaviour telematics reporting to cut costs; this is missing here.,Unknown,Planhat,
Accuracy issue: the consumption report shows different values in the Excel export vs in-app,2026-02-02,"Different calculation methods produce mismatched consumption values between the app and its export, raising accuracy concerns; churn risk in the large-enterprise segment.",Enterprise,Planhat,
Fleet managers want custom procurement statuses for transparency,2026-02-02,Procurement and purchasing teams want custom statuses to track and overview cases.,Unknown,Planhat,
Fleet managers want procurement directories grouped by financing type,2026-02-02,Users overseeing many procurements want directories per finance type such as leasing or purchase.,Enterprise,Planhat,
Fleet managers want to filter damages by purpose of trip in reporting,2026-02-03,A purpose-of-trip filter on the damage dashboard would enable more granular executive reporting.,Unknown,Planhat,
Fleet managers want to choose which driver and vehicle fields appear in the driver app,2026-02-05,"They want configurable driver-app fields such as fuel-card PIN, cost centre, contract end date and an intranet link. Nice-to-have.",Unknown,Planhat,
Fleet managers want maintenance-contract costs displayable in the vehicle overview,2026-02-10,Maintenance-contract costs should be addable as a quick-filter column in the vehicle overview like leasing and insurance costs.,Unknown,Planhat,
Fleet managers want UVV questions to vary by vehicle class,2026-02-10,All drivers currently take the full UVV test regardless of vehicle class; larger fleets want class-specific questions.,Large fleet,Planhat,
Fleet managers want blocking fees included in the premium-cost logic,2026-02-10,Blocking fees should be automatically charged to drivers via premium-cost logic; high request volume.,Unknown,Planhat,
Fleet managers want fine emails sent from the user's personal address,2026-02-11,Drivers ignore or spam-filter the generic notification address; sending from a personal address would help.,Unknown,Planhat,
Fleet managers want to create more than one payment task per fine,2026-02-11,"They need multiple tasks per fine, e.g. a payment reminder plus a licence-details deadline.",Unknown,Planhat,
Fleet managers want a sell-or-keep action for vehicles once depreciation ends,2026-02-12,"After depreciation, cars appear under 'no financing costs'; users want a sell-or-keep option, e.g. a symbolic residual value.",Unknown,Planhat,
"Fleet managers want a reserved-licence-plate field in procurements, visible in the overview",2026-02-16,"A field for the reserved licence plate in procurements, shown in the procurement overview.",Unknown,Planhat,
"Fleet managers want a 'fuel card ordered' checkbox in procurements, visible in the overview",2026-02-16,"A check-field for whether fuel cards are ordered, shown in the procurement overview.",Unknown,Planhat,
Fleet managers want the internal-comment field as a column in the procurement overview,2026-02-18,Users note info in internal comments and want it visible as an overview column so others need not open each procurement.,Unknown,Planhat,
Bug: some euro values show three decimals in the vehicle overview,2026-02-20,"The financing monthly-fee column sometimes shows three decimals; it should be two, as elsewhere.",Unknown,Planhat,
Fleet managers want itemized fuel-consumption reporting (LNG vs diesel) for hybrids,2026-02-20,Hybrid fuel evaluations bundle all fuel types; users need separate LNG and diesel consumption for cost accounting.,Unknown,Planhat,
Fleet managers want a field for lease special or down payments in the contract annex,2026-02-20,A dedicated field for optional lease down-payments so this core cost is tracked within the contract.,Unknown,Planhat,
Fleet managers want separate fines email addresses per sub-organization,2026-02-20,Fines are mis-assigned to the main org; per-sub-org fines addresses would route them correctly.,Multi-entity,Planhat,
Fleet managers want insurance details shown in the driver app,2026-02-23,"They want insurance policy number, provider and emergency contact linked to driver contracts and surfaced in the driver app.",Unknown,Planhat,
"Fleet managers want task templates for damages, as exist for procurements and vehicles",2026-02-25,Tasks can be created in damages but not saved as templates.,Unknown,Planhat,
Fleet managers want a native driver app instead of the browser-based one,2026-02-26,"The browser app causes password and login issues, especially for less-digital drivers; a native app is requested.",Large fleet,Planhat,
Fleet managers want the pool-booking overview exportable to Excel,2026-02-27,The pool-booking overview should export to Excel.,Unknown,Planhat,
Fleet managers want to adjust the close date when bulk-resolving recurring tasks,2026-02-27,"For fixed-date recurring tasks such as annual vehicle tax, bulk-resolving forces the next due date off the original date.",Unknown,Planhat,
Fleet managers want automated recurring report sending on a schedule,2026-02-27,"Customers want reports (TCO/damage quarterly, flex biannually, overdue tasks weekly) sent automatically on schedule.",Enterprise,Planhat,
Fleet managers want the mileage driver's info added to the booking overview,2026-02-27,Request to show the mileage driver's info in the booking overview; no further detail provided.,Unknown,Planhat,
Fleet managers want inspection checklists auto-sent to drivers at pool pickup and return,2026-02-27,Automatically send a digital inspection checklist when a pool vehicle is picked up or returned.,Pool fleet,Planhat,
"Fleet managers want manual approval for fuel invoices too, not just PDF invoices",2026-02-27,Fuel invoices auto-release; users want to review every invoice before release.,Unknown,Planhat,
Fleet managers want per-organization invoice email addresses to include the org name,2026-02-27,"When each org has its own invoice email, including the org name in the address makes the right one easy to find.",Multi-entity,Planhat,
Fleet managers want a CC option when forwarding procurement messages to multiple people,2026-02-27,Users often need to forward a procurement message to several recipients.,Unknown,Planhat,
"Fleet managers want to bulk-update insurance contracts, e.g. via Excel import",2026-03-04,"Yearly insurance-fee changes are too laborious to update, so some users stop maintaining insurance contracts.",Unknown,Planhat,
"Fleet managers want to bulk-update annual vehicle-tax values, e.g. via Excel import",2026-03-04,Yearly vehicle-tax changes are too laborious to update manually.,Unknown,Planhat,
"Fleet managers want to add variations to insurance contracts, as with leasing",2026-03-04,Insurance contracts should support variations like leasing contracts do.,Unknown,Planhat,
Fleet managers want a shared workshop-appointment calendar with key dates,2026-03-04,"They want a workshop and maintenance calendar (currently in Outlook) plus a shared calendar of tasks, contract ends and maintenance.",Unknown,Planhat,
Fleet managers want a mobile-friendly admin app,2026-03-04,The admin experience is poor on mobile; the pool calendar and filtered vehicle lists are hard to use on a phone.,Unknown,Planhat,
Fleet managers want AI to detect fuel and consumption anomalies with automatic alerts,2026-03-04,"Multiple customers want AI anomaly detection: consumption-vs-mileage discrepancies, duplicate/night/weekend refills, non-fuel purchases, AdBlue misuse and lease-vs-invoice mismatches.",Enterprise,Planhat,
"Fleet managers want to add notes to procurements, as in damages, especially on quotes",2026-03-04,"They want a note function on procurements and quotes to record why quote prices differ, since details are forgotten over months.",Unknown,Planhat,
"Fleet managers want vehicle age shown as years, months and days rather than decimals",2026-03-05,"Age shown as a decimal like 1.08 years is unhelpful; they want years, months and days.",Unknown,Planhat,
Fleet managers want damage invoices to also appear under the vehicle's invoices tab,2026-03-05,Damage-related invoices do not show under invoices; users expect them in the vehicle's invoice overview.,Unknown,Planhat,
Fleet managers want to filter and prioritise system-generated tasks on the home dashboard,2026-03-06,Procurement-template tasks flood the home overview and bury real due-today tasks; users want filtering and dating of system tasks.,Unknown,Planhat,
Fleet managers want workshop-order usability fixes,2026-03-06,"Several workshop-order issues: clicking opens the quote not the overview, can't close without an end date, can be closed without an appointment, and type/assignment are not editable.",Unknown,Planhat,
Fleet managers want fine reply emails to auto-route to a shared team address,2026-03-06,"When a driver replies to a fine notification the reply should go to a shared mailbox, not the individual sender who may be out of office.",Unknown,Planhat,
Fleet managers want automatic driver reminders when a licence is about to expire,2026-03-06,Auto-send licence-expiry reminders directly to drivers to ensure timely renewal without manual follow-up.,Unknown,Planhat,
Fleet managers want a default attachment auto-added to fine payment tasks,2026-03-12,The driver-declaration form is always the same and should attach automatically to payment tasks instead of being added manually each time.,Unknown,Planhat,
Fleet managers want a returns-planning overview of soon-returning company cars with location and features,2026-03-13,"Large-fleet managers want to know in advance when and where a vehicle frees up and its features, to reassign efficiently and cut downtime.",Large fleet,Planhat,
Fleet managers want an upload field within the multi-step contract approval process,2026-03-13,Approvers should be able to add and sign contract PDFs within the approval flow so the manager ends with one fully signed contract.,Unknown,Planhat,
Drivers want the DLC notification to state which specific document is requested,2026-03-17,"The DLC email or SMS does not say which document (licence vs driver card) is needed, causing wrong uploads and rework.",Specialised fleet,Planhat,
Fleet managers want to buy Austrian road toll within the platform,2026-03-17,Let drivers and admins purchase road toll in-app and include it in TCO and other reports.,Unknown,Planhat,
Fleet managers want a saved address book of authority emails for fines,2026-03-17,Authority and parking-enforcement emails are often missing and manually searched each time; a saved contact memory would cut repetitive lookups and misrouting risk.,Unknown,Planhat,
Fleet managers want continuous sync of a replaced vehicle's cost centre into open procurements,2026-03-18,A replacement procurement pulls the cost centre once; later changes are not re-synced and must be fixed manually.,Unknown,Planhat,
Fleet managers want to open a replacement procurement directly from the vehicle,2026-03-18,Users must go back to procurements or decommissioning; they want to start a replacement from within the vehicle file.,Unknown,Planhat,
Fleet managers want to select multiple options within one overview filter,2026-03-18,"Filters allow one value; users want to select several, e.g. all hybrid fuel-type variants at once.",Unknown,Planhat,
Fleet managers want to reuse the same contact email across multiple vendors,2026-03-18,An email can belong to only one vendor; users want a warn-and-confirm on reuse instead of fake-email workarounds.,Unknown,Planhat,
Fleet admins want to edit and correct submitted driver checklists,2026-03-19,Drivers sometimes enter wrong values such as freight temperatures; admins want to correct submitted checklists for accurate compliance records.,Specialised fleet,Planhat,
Fleet managers want to create leasing contracts without a contractual mileage,2026-03-19,Residual-value and flat-rate leases have no mileage; users are forced to enter placeholder values that confuse mileage reporting.,Unknown,Planhat,
Fleet managers want to delete or archive obsolete checklists without support,2026-03-19,Removing test or unused checklists requires a support ticket and long waits; self-service deletion is wanted.,Unknown,Planhat,
Fleet managers want to move multiple documents between folders in bulk,2026-03-23,Users move sets of inspection documents one by one; a bulk move is wanted.,Unknown,Planhat,
"Fleet managers want non-admin users to trigger odometer requests, and to do so in bulk from the vehicle list",2026-03-24,A large customer wants non-admin read/write users to send odometer requests and to trigger them via multi-select bulk action.,Enterprise,Planhat,
Fleet managers want multiple item-specific comment fields in vehicle-check templates,2026-03-24,A single general comment box forces drivers to bundle notes; item-specific comment fields would structure feedback.,Unknown,Planhat,
"Fleet managers want an internal, manager-only comment field on vehicle checks",2026-03-24,Any note in the system is driver-visible; managers want internal notes hidden from drivers for follow-ups.,Large fleet,Planhat,
Fleet managers want tire dimensions available in reports and exports,2026-03-25,Tire dimensions exist in master data but cannot be included in reports; needed for seasonal tire-service lists.,Unknown,Planhat,
Fleet managers want depreciation plans for operating-hours assets such as forklifts,2026-03-25,Purchase contracts with depreciation cannot be assigned to operating-hours vehicles; mixed fleets need this.,Specialised fleet,Planhat,
"Fleet managers want a task odometer field separate from the vehicle odometer, allowing historical values",2026-03-26,An odometer entered on a retroactive task is validated against the current higher reading and rejected; a non-validating historical field is needed.,Unknown,Planhat,
Fleet managers want drivers to update a changed licence number during a repeat DLC,2026-03-26,If a licence number changes between checks the driver is locked out and the manager must archive and re-initiate the DLC manually.,Unknown,Planhat,
"Fleet managers want PDF exports filtered by driver, not just by vehicle",2026-03-27,"They want a driver-based PDF export of all completed and categorised trips for one driver, like the vehicle-based one.",Unknown,Planhat,
"Fleet managers want odometer values shown as numbers, not text, in Excel exports",2026-03-27,Odometer records export as text; users want them as numbers. Nice-to-have.,Unknown,Planhat,
Fleet managers want the mobile phone number on the damage-report PDF when the landline is empty,2026-03-27,The damage PDF shows only the landline; it should fall back to the mobile number.,Unknown,Planhat,
Fleet managers want a scheduled-date column and dynamic master-data display in the task overview,2026-03-27,They want a toggleable execution-date column and automatic display of relevant custom fields such as tire storage or preferred workshop in the task view.,Unknown,Planhat,
Fleet managers want to save ad-hoc tasks as templates during creation,2026-03-27,"A checkbox to save a task as a template while creating it, instead of building templates separately.",Unknown,Planhat,
Fleet managers want to auto-generate driver assignment letters on company letterhead,2026-03-30,"On new assignments, generate an assignment letter with vehicle, dates, driver and fringe benefit on the company letterhead from data already in the system.",Unknown,Planhat,
Fleet managers want sub-org users to access mailroom documents via dedicated sub-org addresses,2026-03-30,Mailroom documents go to the main org so sub-org users cannot see them; per-sub-org mailroom addresses are needed.,Multi-entity,Planhat,
Fleet managers want the expected budget shown next to a procurement offer,2026-03-31,They want the policy- and level-based expected budget beside the received offer to see quickly if it fits or must be charged to the driver.,Unknown,Planhat,
Fleet managers want a pop-up shortcut to open the case a mailroom document was added to,2026-03-31,"Like the claims inbox pop-up, a shortcut to jump straight to the updated case such as a claim or fine.",Unknown,Planhat,
Fleet managers want to build custom reports from task data,2026-04-01,Task data cannot be used in custom reports; users want all task data points available.,Unknown,Planhat,
Fleet managers want driver-app login by username instead of email,2026-04-02,"Many drivers have no company email; a username-and-password login (like the old PIN users) is wanted, especially for migrated customers.",Unknown,Planhat,
"Fleet managers want auto-forwarding of specific mailroom documents, e.g. to insurers",2026-04-10,"Documents often need forwarding, e.g. to insurance; automating this would raise mailroom value (vertical potential).",Unknown,Planhat,
Fleet managers want per-sub-org mailroom integration addresses,2026-04-10,"Mailroom-address documents land in the main org; per-sub-org addresses, like invoice integration, are needed.",Multi-entity,Planhat,
Fleet managers want a tasks-only user role with read-only master data,2026-04-10,"A restricted role limited to task handling (attachments, create/resolve) with read-only master data.",Unknown,Planhat,
Fleet managers want a fringe-benefit-only user role,2026-04-10,A role that can only access the fringe-benefit tab in read and write mode.,Unknown,Planhat,
Bug: deleted pool groups still appear in the pool-calendar sort menu,2026-04-10,Only existing pool groups should show in sort-pools; deleted ones should not.,Unknown,Planhat,
Fleet managers want to attach invoices to a procurement before the vehicle is active,2026-04-14,Down-payment invoices arrive before the vehicle is active; users want to attach them to the procurement and reallocate cost when the vehicle activates.,Unknown,Planhat,
Fleet managers want to assign vehicle checks during vehicle creation,2026-04-16,Checks must be added on a separate screen after creation and are often forgotten; assigning them in the creation flow prevents compliance gaps.,Unknown,Planhat,
"Fleet managers want decision-ready pool-vehicle utilization logic, not just raw data",2026-04-17,"A large customer can extract data but cannot judge which pool vehicles are under-utilised or should be relocated; they want a multi-factor utilization score (frequency, days-in-use, trip patterns) for keep/move decisions.",Pool fleet,Planhat,
Fleet managers want instant tasks that notify the driver immediately,2026-04-19,Task emails have a minimum one-day delay; urgent tasks need immediate notification.,Mid-market,Planhat,
Fleet managers want a feedback comment when a task is closed,2026-04-19,"A closing comment, e.g. noting a problem found during the task, would aid task-management adoption.",Unknown,Planhat,
Fleet managers want the recognised contract number included in auto-generated file names,2026-04-19,"For the mailroom auto-naming feature, include the contract number found in the document.",Unknown,Planhat,
Fleet managers want recognised contract documents stored in the contracts section,2026-04-19,"A contract document recognised in the mailroom should be stored in, or linked to, the contracts section.",Unknown,Planhat,
Fleet managers want to customise which premium fuels a driver may buy,2026-04-20,"Customers want to define allowed premium fuels, since premium can sometimes be cheaper than standard.",Unknown,Planhat,
"Fleet managers want batched, auto-dismissing, user-targeted fine-import notifications",2026-04-20,"Processing a batch of fines spawns many stacked pop-ups shown to all users; they want a single summary, auto-dismiss, targeting only the initiator, and an opt-out.",Enterprise,Planhat,
Fleet managers want the starting/handover mileage shown prominently on mileage monitoring,2026-04-20,The handover odometer is not displayed; users dig through history to find it for calculations.,Unknown,Planhat,
"Fleet managers want reporting to reflect actual lease payments, not just contract dates",2026-04-21,"Some lessors charge the first month fully and skip the last, so contract-date-based reports do not match the ledger.",Unknown,Planhat,
"Fleet managers want the procurement title, not just the number, as a column in the task overview",2026-04-21,Tasks tied to a procurement show only the number; the title would identify the future vehicle.,Unknown,Planhat,
Fleet managers want custom fields in damage management,2026-04-21,Custom fields are considered essential in the damage module.,Unknown,Planhat,
Fleet managers want the case number auto-filled into the damage-number field,2026-04-23,Users manually copy the case number into the damage-number field; auto-fill is wanted. Nice-to-have.,Unknown,Planhat,
Fleet managers want to create folders and subfolders directly from the mailroom,2026-04-23,"When uploading, users find a folder missing and want to create it in the mailroom, as with creating a damage.",Unknown,Planhat,
Fleet managers want to link a mailroom document to a procurement,2026-04-23,"In bulk upload, users want to attach a document to an existing or new procurement.",Unknown,Planhat,
Fleet managers want the mailroom to hide smime.p7s signature files,2026-04-27,Digitally signed emails show an irrelevant smime.p7s file that should not be displayed.,Unknown,Planhat,
Fleet managers want batch scanning with automatic separation for fines,2026-04-28,Fines must be scanned individually; batch scan with automatic separation would save time. Nice-to-have.,Unknown,Planhat,
Fleet managers want latest messages shown at the top of each conversation,2026-04-29,Users want newest messages on top instead of scrolling to the end each time.,Unknown,Planhat,
Fleet managers want to download or forward mis-routed invoices from the mailroom,2026-04-30,Non-fleet documents sometimes land in the mailroom; users want to download or forward them (with CC and a template) to the right team.,Unknown,Planhat,
